Datetime,Tweet Id,Text,Username
2022-01-24 02:39:55+00:00,1.49E+18,SMA lo emng prik bngt #SMArigged,chaniemagu
2022-01-24 02:38:16+00:00,1.49E+18,🐍🐍🐍🐍🐍 #SMArigged,loveypjs
2022-01-24 02:37:20+00:00,1.49E+18,@damnroseanne 😭😭😭 @SMA_global #SMARIGGED,RS1success
2022-01-24 02:36:59+00:00,1.49E+18,🤝 #SMArigged https://t.co/tTub59d3Fj,chaniemagu
2022-01-24 02:33:16+00:00,1.49E+18,"I love how MOAs find a way to make the hate twts into memes without involving / dragging any other artist / group down 😂 Antis want us to get mad, but we’re just laughing at their posts. MOAville is the best! 

Taking this as an opportunity to say #SMArigged too. 🤪",Shaira_moa
2022-01-24 02:31:52+00:00,1.49E+18,just wanted 2 say my ap class is rigged #SMArigged #BibleQuizrigged,bamtouille
2022-01-24 02:31:22+00:00,1.49E+18,@SMA_global #SMArigged https://t.co/jbQrKqh4iD,RS1success
2022-01-24 02:29:26+00:00,1.49E+18,@dubadduwari_ #SMArigged https://t.co/xCEHX9rGPm,BtrflyHmx
2022-01-24 02:28:13+00:00,1.49E+18,@bertrish770 They take voters for fools. We should stop supporting SMA by not voting. #SMARigged,BeadGoldie
2022-01-24 02:27:25+00:00,1.49E+18,"@protectsrose SMA has been proven once again to be an attendance awards show;
such a waste of time, effort, and money.

 So unprofessional. Very unethical.

#SMARIGGED",pasta081
2022-01-24 02:25:03+00:00,1.49E+18,"Plis untuk other unit kalau lu udah seneng yaudah gak usah pake bilang untung aja yg satu nya dapet jadi gak terlalu kesel, mereka beda unit, plis fandom lain aja bisa respect ke nct dream kenapa fandom sendiri kayak gini 🤬 #NCTDREAM #SMArigged",Mina30900721
2022-01-24 02:25:03+00:00,1.49E+18,"And yet SMA did them dirty

#SMArigged
#SMA_RespectIVE https://t.co/TEcS2Y2a0g",KingHarpie
2022-01-24 02:18:35+00:00,1.49E+18,"gk tau dah anjir, lo ngeselin 🐍#SMArigged",rnjuniee23
2022-01-24 02:18:27+00:00,1.49E+18,nct dream deserve better @SMA_global #SMArigged https://t.co/DtyHouh07w,_namericano_
2022-01-24 02:17:14+00:00,1.49E+18,"no one is going to move on from this SMA, if you really do know who's deserving then this would not happen, like what they said, numbers don't lie

 #SMArigged",gray_jinnie
2022-01-24 02:15:55+00:00,1.49E+18,#SMArigģed https://t.co/eOG01fF4tv,sssooxyz_
2022-01-24 02:12:34+00:00,1.49E+18,"SKZ kuuu😭😭😭
TXT, Dreamies💔💔💔

#SMArigged https://t.co/flUDjEmF2W",babyswastika27
2022-01-24 02:12:34+00:00,1.49E+18,"@protectsrose SMA has been proven once again to be an attendance awards show;
such a waste of time, effort, and money.

 So unprofessional. Very unethical.

#SMARIGGED",rsmarionette
2022-01-24 02:12:19+00:00,1.49E+18,SMAGet lost，#SMARigged,hulidetaozi1
2022-01-24 02:11:59+00:00,1.49E+18,"Bukanya gak bersyukur atau salty sih tapi are u sure? Wkkwk kalau gini akhirnya sj ngapin vote bambank gak guna bnget anjrit, lo mau ikutan jadi uler? Kasian anjrit DREAMIES gue dan fans"" lain juga idol""nya yg udah kerja keras but u ksjsjaj Prik #SMArigged https://t.co/pd5sgq96vm",chaniemagu
2022-01-24 02:11:56+00:00,1.49E+18,#SMArigged #SMAbobo https://t.co/KrTeawsnnt,anyjgoat
